-OR-,-OU-
"Summary Text for Aggregated Cart","Texto do resumo para carrinho de agregados"
"Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","Apoio da American Express cartões exigem acordo adicional. Saiba mais em <a href=""http://www.paypal.com/amexupdate""> http://www.paypal.com/amexupdate</a>."
Switch/Maestro,Interruptor/Maestro
Telephone,Telefone
"Test Mode","Modo de teste"
"The background color for the checkout page around the header and payment form.","A cor de fundo para a página de checkout em torno do formulário cabeçalho e pagamento."
"The background color for the header of the checkout page. Case-insensitive six-character HTML hexadecimal color code in ASCII.","A cor de fundo para o cabeçalho da página de checkout. Maiúsculas e minúsculas seis caracteres HTML código de cor hexadecimal em ASCII."
"The default number of child authorizations in your PayPal account is 1. To do multiple authorizations please contact PayPal to request an increase.","O número de autorizações de criança em sua conta PayPal padrão é 1. Para fazer várias autorizações contacte PayPal para pedir um aumento."
"The following error(s) occured:","Ocorreu o seguinte erro:"
"The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=""color:red"">https</strong> is highly encouraged.","A imagem no canto superior esquerdo da página de checkout. Tamanho máximo é de 750 x 90 pixels. <strong style=""color:red""> https</strong> é altamente incentivado."
"The maximum number of child authorizations is reached.","O número máximo de autorizações de criança é atingido."
"The merchant account is not yet verified.","A comerciante conta ainda não é verificada."
"The payment curency does not match any of the merchant\'s balances currency.","O numerário de pagamento não corresponde a nenhum da moeda de saldos do merchant\."
"The payment eCheck is not yet cleared.","O eCheck de pagamento ainda não está desmarcada."
"The payment is authorized but not settled.","O pagamento é autorizado mas não resolvido."
"The payment is pending because it was made to an email address that is not yet registered or confirmed.","O pagamento está pendente porque foi feito para um endereço de e-mail que ainda não está registrado ou confirmado."
"The payment is pending while it is being reviewed by PayPal for risk.","O pagamento está pendente enquanto isso está sendo revisado por PayPal para risco."
"The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status.","O pagamento foi feito via cartão de crédito. A fim de receber fundos comerciante deve atualizar conta status empresarial ou Premier."
"There is already another PayPal solution enabled. Enable this solution instead?","Já existe uma outra solução de PayPal habilitada. Habilitar esta solução, em vez disso?"
"There was an error processing your order. Please contact us or try again later.","Houve um erro ao processar sua ordem. Por favor, entre em contato conosco, ou tente novamente mais tarde."
"This feature needs be enabled first for the merchant account through PayPal technical support.","Esse recurso precisa ser ativado primeiro para a comerciante conta através do PayPal suporte técnico."
"This operation requires an existing transaction object.","Esta operação requer um objeto de transação existente."
"Time of Day","Hora do dia"
Title,Título
"Transaction ID","ID da transação"
"Transaction ID must not be empty.","ID de transação não deve estar vazio."
"Transaction Information","Informações de transações"
"Transaction reversal by PayPal administrators.","Reversão de transação pelos administradores do PayPal."
"Transaction reversal due to fraud detected by PayPal administrators.","Reversão de transação devido a fraude detectada pelos administradores do PayPal."
"Transfer Cart Line Items","Itens de linha de carro de transferência"
"Transfer Shipping Options","Transferir as opções de envio"
"Triggered Fraud Filters","Filtros de fraude desencadeada"
"URL method for Cancel URL and Return URL","Método de URL para cancelar a URL e a URL de retorno"
"Unable to cancel Express Checkout.","Não é possível cancelar check-out Express."
"Unable to change status. Current status is not correspond to real status.","Não é possível alterar o status. Status atual não é correspondem ao estado real."
"Unable to communicate with the PayPal gateway.","Incapaz de se comunicar com o gateway de PayPal."
"Unable to initialize Express Checkout review.","Não é possível inicializar revisão Express Checkout."
"Unable to initialize Express Checkout.","Não é possível inicializar o Express Checkout."
"Unable to place the order.","Não é possível fazer o pedido."
"Unable to process Express Checkout approval.","Incapaz de processar a aprovação Express Checkout."
"Unable to start Express Checkout.","Não é possível iniciar o Express Checkout."
"Unable to update Order data.","Não é possível atualizar os dados de ordem."
"Unable to update shipping method.","Não é possível atualizar o método de envio."
"Unknown Error. Please try again later.","Erro desconhecido. Por favor, tente novamente mais tarde."
"Unknown reason. Please contact PayPal customer service.","Razão desconhecida. Por favor contacte o serviço ao cliente de PayPal."
"Update Order Data","Atualizar dados de ordem"
"Use Proxy","Usar Proxy"
"Use colon to specify port. For example: ""test.example.com:5224"".","Dois pontos de uso para especificar a porta. Por exemplo: ""test.example.com:5224""."
User,Usuário
"User-initiated Currency Conversion","Conversão de moeda iniciada pelo usuário"
"Uses store frontend name by default.","Usos armazenam frontend nome por padrão."
"VAT Number","Número de IVA"
Vendor,Fornecedor
View,Vista
"View Demo","Ver demonstração"
"View Transaction","Transação de exibição"
"View Transaction Details","Exibir detalhes de transação"
"Virtual PayPal Debit Card Transaction","Transação do cartão de débito virtual do PayPal"
"Virtual Terminal Payment","Pagamento Terminal virtual"
Void,Vazio
"We prefer PayPal (150 X 40)","Nós preferimos PayPal (150 X 40)"
"We prefer PayPal (150 X 60)","Nós preferimos PayPal (150 X 60)"
"Website Payments Plus","Pagamentos de site mais"
"Website Payments Pro (Includes Express Checkout)","Pagamentos site Pro (inclui Express Checkout)"
"Website Payments Pro Hosted Solution","Site pagamentos Pro solução hospedada"
"Website Payments Pro Hosted Solution (Includes Express Checkout)","Site pagamentos Pro solução hospedada (inclui Express Checkout)"
"Website Payments Pro Hosted Solution and Express Checkout","Site pagamentos Pro solução hospedada e Checkout expresso"
"Website Payments Pro Payflow Edition (Includes Express Checkout)","Pagamentos de site Payflow Pro Edition (inclui Express Checkout)"
"Website Payments Pro Payflow Edition and Express Checkout","Pagamentos de site Payflow Pro Edition e o Express Checkout"
"Website Payments Pro and Express Checkout","Site pagamentos Pro e Express Checkout"
"Website Payments Standard","Padrão de pagamentos do site"
"Website Payments Standard Payment","Site pagamentos pagamento padrão"
"What is PayPal?","O que é PayPal?"
"Whether to create a billing agreement, if there are no active billing agreements available.","Se deseja criar um acordo de faturamento, se não houver nenhum ativos acordos de faturamento disponíveis."
"Will appear as a payment option only for customers who have at least one active billing agreement.","Aparecerá como uma opção de pagamento somente para clientes que possuem pelo menos um acordo de faturamento ativo."
"WorldLink Withdrawal","WorldLink retirada"
"Would you like to sign a billing agreement to streamline further purchases with PayPal?","Gostaria de assinar um acordo de faturamento para agilizar ainda mais compras com PayPal?"
"Wrong PayPal Express Checkout Token specified.","Errado PayPal Express Checkout Token especificado."
Yes,Sim
"Yes. Matched Address and five-didgit ZIP","Sim. Endereço de correspondência e cinco-didgit ZIP"
"You cannot void a verification transaction","Você não pode anular uma transação de verificação"
"You will be redirected to the PayPal website in a few seconds.","Em poucos segundos você será redirecionado para o site do PayPal."
"You will be redirected to the PayPal website when you place an order.","Você será redirecionado para o site PayPal quando você faz um pedido."
"You will be redirected to the PayPal website.","Você será redirecionado para o site do PayPal."
"You will be required to enter your payment details after you place an order.","Você deverá inserir os seus dados de pagamento depois que você colocar uma ordem."
"Zip/Postal Code","CEP/Código Postal"
"eBay Auction Payment","eBay leilão pagamento"
